STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,hazard,Hazard class,wst_oper,Waste management operations,waste,Waste categories,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),TOTAL,Total waste,DE,Germany,2010,,1128772,,,,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),TOTAL,Total waste,DE,Germany,2012,,1142653,,,,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),TOTAL,Total waste,DE,Germany,2014,,1263306,,,,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),TOTAL,Total waste,DE,Germany,2016,,1056183,,,,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),TOTAL,Total waste,DE,Germany,2018,,945280,,,,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),TOTAL,Total waste,DE,Germany,2020,,1040575,,,,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),TOTAL,Total waste,DE,Germany,2022,,943047,,,,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),TOTAL,Total waste,DK,Denmark,2010,,0,,,,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),TOTAL,Total waste,DK,Denmark,2012,,2701,,,,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),TOTAL,Total waste,DK,Denmark,2014,,3293,,,,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),TOTAL,Total waste,DK,Denmark,2016,,4109,,,,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),TOTAL,Total waste,DK,Denmark,2018,,4386,,,,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),TOTAL,Total waste,DK,Denmark,2020,,939,,,,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),TOTAL,Total waste,DK,Denmark,2022,,3564,,,,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),TOTAL,Total waste,ES,Spain,2010,,18465,,,,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),TOTAL,Total waste,ES,Spain,2012,,6,,,,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),TOTAL,Total waste,ES,Spain,2014,,354,,,,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),TOTAL,Total waste,ES,Spain,2016,,636,,,,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),TOTAL,Total waste,ES,Spain,2018,,65778,,,,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),TOTAL,Total waste,ES,Spain,2020,,52864,,,,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),TOTAL,Total waste,ES,Spain,2022,,69803,,,,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),TOTAL,Total waste,FI,Finland,2010,,141509,,,,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),TOTAL,Total waste,FI,Finland,2012,,107476,,,,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),TOTAL,Total waste,FI,Finland,2014,,149463,,,,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),TOTAL,Total waste,FI,Finland,2016,,42460,,,,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),TOTAL,Total waste,FI,Finland,2018,,84312,,,,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),TOTAL,Total waste,FI,Finland,2020,,104023,,,,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),TOTAL,Total waste,FI,Finland,2022,,79431,,,,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),TOTAL,Total waste,FR,France,2010,,1306167,,,,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),TOTAL,Total waste,FR,France,2012,,1422701,,,,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),TOTAL,Total waste,FR,France,2014,,1520287,,,,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),TOTAL,Total waste,FR,France,2016,,1514417,,,,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),TOTAL,Total waste,FR,France,2018,,1778037,,,,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),TOTAL,Total waste,FR,France,2020,,1683750,,,,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),TOTAL,Total waste,FR,France,2022,,1627504,,,,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),TOTAL,Total waste,NL,Netherlands,2010,,493902,,,,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),TOTAL,Total waste,NL,Netherlands,2012,,544584,,,,,
dataflow,ESTAT:ENV_WASTRT(1.0),"Treatment of waste by waste category, hazardousness and waste management operations",A,Annual,T,Tonne,HAZ,Hazardous,DSP_I,Disposal - incineration (D10),TOTAL,Total waste,NL,Netherlands,2014,,331812,,,,,
